Matični broj,Naziv preduzeća,Sedište,Adresa,Opština,Naziv opštine,Delatnost (KD 2010),Naziv delatnosti,Veličina preduzeća,Naziv osnivača,Napomena,Procenat udela osnivača,Ukupni prihodi (AOP 201+215+217),Ukupni rashodi (AOP 207+216+218),Svega (AOP 207),Nabavna vrednost prodate robe (AOP 208),Troškovi materijala (AOP 209),"Troškovi zarada, naknada zarada i ostali lični rashodi (AOP 210)",Troškovi amortizacije i rezervisanja (AOP 211),Ostali poslovni rashodi (AOP 212),Finansijski rashodi (AOP 216),Ostali rashodi (AOP 218),Neto dobitak (AOP 229),Neto gubitak (AOP 230),Broj zaposlenih (AOP 605)
7013922,LAZAREVAC,Lazarevac,Nikole Vujačića 28,70165,Beograd-Lazarevac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",veliko,Opština Lazarevac,,0,643678,792280,756644,367,117745,481533,51040,105959,21933,13703,0,148976,612
17061259,RADIO LAZAREVAC,Lazarevac,Karađorđeva 20,70165,Beograd-Lazarevac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,OPŠTINA LAZAREVAC,,0,12978,13076,13071,0,198,10987,284,1602,5,0,0,117,10
20199601,JP TOPLIFIKACIJA LAZAREVAC,Lazarevac,Karađorđeva 32,70165,Beograd-Lazarevac,3530,Snabdevanje parom i klimatizacija                           ,srednje,GRADSKA OPŠTINA LAZAREVAC,,100,277461,308257,289694,0,97947,108638,36828,46281,65,18498,0,30284,109
7045859,JKP MLADENOVAC MLADENOVAC,Mladenovac (varoš),Kraljice Marije 32,70173,Beograd-Mladenovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",veliko,Државни капитал,Lokalni nivo,100,312145,332671,304352,2748,59754,171427,36545,33878,5611,22708,0,20543,268
17314734,PIJACE MLADENOVAC,Mladenovac (varoš),KRALJICE MARIJE 1,70173,Beograd-Mladenovac,3811,Skupljanje otpada koji nije opasan,malo,OPŠTINA MLADENOVAC,,100,35175,35162,35155,0,1967,26231,781,6176,7,0,13,0,39
17569325,MLADENOVAC,Mladenovac (varoš),Kralja Petra I 175,70173,Beograd-Mladenovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,OPŠTINA MLADENOVAC,,100,8991,11667,11667,0,350,8685,0,2632,0,0,0,2676,4
7020210,JKP BEOGRADSKE ELEKTRANE BEOGRAD,Beograd (Novi Beograd),Savski nasip 11,70181,Beograd-Novi Beograd,3530,Snabdevanje parom i klimatizacija                           ,veliko,SKUPŠTINA GRADA BEOGRADA,,100,16632199,17438320,16443878,171759,10808075,2516873,1296141,1651030,442544,551898,0,835236,2269
7049285,JP SAVA CENTAR BEOGRAD,Beograd (Novi Beograd),Milentija Popovića 9,70181,Beograd-Novi Beograd,9001,Izvodjačka umetnost                                          ,srednje,SKUPŠTINA GRADA BEOGRADA,,0,703928,701398,679094,0,137659,251581,23068,266786,4271,18033,2205,0,144
7041985,JKP OBRENOVAC OBRENOVAC,Obrenovac,Cara Lazara 3/1,70190,Beograd-Obrenovac,3811,Skupljanje otpada koji nije opasan,srednje,SKUPŠTINA OPŠTINE OBRENOVAC,,100,307764,306556,284606,1334,31238,145345,22290,84399,2813,19137,1018,0,172
7065809,"JP SKC OBRENOVAC, OBRENOVAC",Obrenovac,Kralja Aleksandra I 63,70190,Beograd-Obrenovac,9311,Delatnost sportskih objekata                                ,malo,OPŠTINA OBRENOVAC,,100,108152,108144,107955,3827,16474,44185,2738,40731,69,120,8,0,82
